tmdb_id,tipo,título,público,score,votos,fecha,géneros,sinopsis,popularidad,idioma_original,imagen_url
66732,serie,Stranger Things,TV-14,8.573,20907,2016-07-15,"['Sci-Fi & Fantasy', 'Misterio', 'Action & Adventure']","Después de la extraña desaparición de un niño, un pueblo se encuentra ante un misterio que revela experimentos secretos, fuerzas sobrenaturales y a una niña muy especial.",190.2113,en,https://image.tmdb.org/t/p/w500/1sRJ8D1vpXE5WQBGrUBky3uUwvX.jpg
97186,serie,"Love, Victor",TV-14,8.572,1636,2020-06-17,"['Comedia', 'Drama']","Basada en la novela para jóvenes de Becky Albertalli 'Simon vs. the Homo Sapiens Agenda', que inspiró el largometraje 'Love, Simon'. 'Love, Victor' sigue a Victor, un nuevo estudiante de Creekwood High School en su autodescubrimiento, enfrentándose a problemas en casa, adaptándose a una nueva ciudad y descubriendo su orientación sexual. Cuando todo se le está haciendo difícil, se acerca a Simon para que le ayude a lidiar con los altibajos de su vida.",17.6758,en,https://image.tmdb.org/t/p/w500/o6lrlXMgOKdkoZZbaXK6ENJxnkB.jpg
240,película,El Padrino II,C,8.572,13722,1974-12-20,"['Drama', 'Crimen']","Continuación de la historia de los Corleone por medio de dos historias paralelas: la elección de Michael como jefe de los negocios familiares y los orígenes del patriarca, Don Vito Corleone, primero en su Sicilia natal y posteriormente en Estados Unidos, donde, empezando desde abajo, llegó a ser un poderosísimo jefe de la mafia de Nueva York.",27.9822,en,https://image.tmdb.org/t/p/w500/nitJxV5GfaOB44VVOpVx2fOxnuT.jpg
1408,serie,Dr. House,TV-14,8.568,7443,2004-11-16,['Drama'],"El Dr. Gregory House, un genio médico misántropo, poco convencional y adicto a las drogas, lidera un equipo de diagnosticadores en el ficticio Hospital Universitario Princeton-Plainsboro en Nueva Jersey.",322.0452,en,https://image.tmdb.org/t/p/w500/lW7MvZ4m49IUj2UrUu4z0xVVl81.jpg
424,película,La Lista de Schindler,,8.567,17246,1993-12-15,"['Drama', 'Historia', 'Bélica']","La emotiva y desgarradora historia real de Oskar Schindler, un empresario alemán que, durante el Holocausto, emplea a judíos en su fábrica para salvarlos del exterminio nazi, mostrando cómo un acto de compasión puede desafiar el horror y la barbarie.",28.5479,en,https://image.tmdb.org/t/p/w500/3Ho0pXsnMxpGJWqdOi0KDNdaTkT.jpg
2098,serie,Batman: La Serie Animada,TV-PG,8.567,1788,1992-09-05,"['Action & Adventure', 'Animación', 'Drama', 'Misterio']","Considerada la mejor adaptación de Batman a la pantalla, esta serie de Bruce W. Timm narraba en un tono oscuro y adulto la historia del héroe de DC Comics, Batman, presentando una Gotham inspirada en la de la película de Tim Burton.",55.0083,en,https://image.tmdb.org/t/p/w500/gcOV7JFbJpNqH8mzSuL8jG1WVy4.jpg
124834,serie,Heartstopper,TV-14,8.56,1657,2022-04-22,['Drama'],"Charlie es un genio y abiertamente gay, y Nick es un jugador de rugby con un gran corazón. Un día, sus destinos se cruzan cuando deben sentarse juntos, comenzando así una amistad en la que Charlie, sin esperarlo, se enamora perdidamente de Nick, aunque ve imposible que surja algo entre ellos.",20.8399,en,https://image.tmdb.org/t/p/w500/fBbhBvFEVgVxWrBbOJDzDjcVXM4.jpg
389,película,12 Hombres en Pugna,,8.556,9844,1957-04-10,['Drama'],"Doce miembros de un jurado deliberan sobre el veredicto de un caso de homicidio. A medida que discuten, los prejuicios personales y las opiniones en conflicto emergen, desafiando la justicia y revelando la complejidad del sistema legal.",22.552,en,https://image.tmdb.org/t/p/w500/andXPjcmwHstD4zFccFlOKMgoBh.jpg
135157,serie,Alquimia de Almas,TV-14,8.555,751,2022-06-18,"['Drama', 'Sci-Fi & Fantasy', 'Action & Adventure', 'Misterio']","Una poderosa hechicera atrapada en el cuerpo de una mujer ciega se encuentra con un integrante de una prestigiosa familia, que necesita su ayuda para cambiar su destino.",26.6893,ko,https://image.tmdb.org/t/p/w500/1TtUh6UT1eLcOxYsBaUBdaBrSws.jpg
37606,serie,El increíble mundo de Gumball,TV-Y7,8.541,1701,2011-05-03,"['Animación', 'Familia', 'Sci-Fi & Fantasy', 'Comedia']","La serie gira en torno a la vida de un gato azul llamado Gumball Watterson y sus frecuentes travesuras en la ficticia ciudad estadounidense de Elmore, acompañado por su hermano adoptivo y mejor amigo, Darwin. Otros miembros de la familia Watterson son: una conejita rosada e intelectual hermana menor, Anaís; un conejo holgazán como su padre, Richard; y su madre Nicole, una gata, quienes a menudo se ven involucrados en las aventuras de Gumball. Gumball y sus hermanos asisten a la escuela ""Elmore Junior School"" (Escuela primaria de Elmore), donde, a lo largo de la serie, interactúan con sus varios compañeros, principalmente con el interés amoroso de Gumball, Penny.",43.5035,en,https://image.tmdb.org/t/p/w500/al3wD1MqEfwifOBBFnBM5uOl9OT.jpg
